DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-10-22;NO4;Husholdning;0;245337
2025-10-22;NO4;Hytter og fritidseiendommer;0;44528
2025-10-22;NO5;Husholdning;82668;258712
2025-10-22;NO5;Hytter og fritidseiendommer;26797;49150
2025-10-23;NO1;Husholdning;463244;1117255
2025-10-23;NO1;Hytter og fritidseiendommer;67050;110820
2025-10-23;NO2;Husholdning;351249;630721
2025-10-23;NO2;Hytter og fritidseiendommer;72149;106481
2025-10-23;NO3;Husholdning;679;408316
2025-10-23;NO3;Hytter og fritidseiendommer;784;63018
2025-10-23;NO4;Husholdning;0;245343
2025-10-23;NO4;Hytter og fritidseiendommer;0;44531
2025-10-23;NO5;Husholdning;83182;258737
2025-10-23;NO5;Hytter og fritidseiendommer;26891;49158
2025-10-24;NO1;Husholdning;464939;1117297
2025-10-24;NO1;Hytter og fritidseiendommer;67224;110824
2025-10-24;NO2;Husholdning;352333;630755
2025-10-24;NO2;Hytter og fritidseiendommer;72285;106483
2025-10-24;NO3;Husholdning;693;408353
2025-10-24;NO3;Hytter og fritidseiendommer;793;63021
2025-10-24;NO4;Husholdning;0;245347
2025-10-24;NO4;Hytter og fritidseiendommer;0;44534
2025-10-24;NO5;Husholdning;83618;258738
2025-10-24;NO5;Hytter og fritidseiendommer;27008;49166
2025-10-25;NO1;Husholdning;466121;1117301
2025-10-25;NO1;Hytter og fritidseiendommer;67353;110822
2025-10-25;NO2;Husholdning;353048;630752
2025-10-25;NO2;Hytter og fritidseiendommer;72402;106484
2025-10-25;NO3;Husholdning;699;408351
2025-10-25;NO3;Hytter og fritidseiendommer;796;63021
2025-10-25;NO4;Husholdning;0;245347
2025-10-25;NO4;Hytter og fritidseiendommer;0;44534
2025-10-25;NO5;Husholdning;83906;258739
2025-10-25;NO5;Hytter og fritidseiendommer;27068;49166
2025-10-26;NO1;Husholdning;467697;1117302
2025-10-26;NO1;Hytter og fritidseiendommer;67509;110822
2025-10-26;NO2;Husholdning;353949;630750
2025-10-26;NO2;Hytter og fritidseiendommer;72541;106484
2025-10-26;NO3;Husholdning;703;408351
2025-10-26;NO3;Hytter og fritidseiendommer;802;63021
2025-10-26;NO4;Husholdning;0;245347
2025-10-26;NO4;Hytter og fritidseiendommer;0;44534
2025-10-26;NO5;Husholdning;84372;258739
2025-10-26;NO5;Hytter og fritidseiendommer;27169;49166
2025-10-27;NO1;Husholdning;469888;1117344
2025-10-27;NO1;Hytter og fritidseiendommer;67705;110826
2025-10-27;NO2;Husholdning;355137;630787
2025-10-27;NO2;Hytter og fritidseiendommer;72722;106487
2025-10-27;NO3;Husholdning;714;408361
2025-10-27;NO3;Hytter og fritidseiendommer;808;63022
2025-10-27;NO4;Husholdning;0;245354
2025-10-27;NO4;Hytter og fritidseiendommer;0;44538
