start_date,Consumption,NoMeasured,Price,Zone,MeanTemp
2022-01-02 12:00:00+00:00,2565524.21,1065430,1.11265,NO1,3.203658103942871
2022-01-02 12:00:00+00:00,1356944.105,598516,1.11265,NO2,0.3852145671844482
2022-01-02 12:00:00+00:00,930922.646,387305,0.37448,NO3,-2.194887638092041
2022-01-02 12:00:00+00:00,869712.936,240435,0.37448,NO4,-2.1587088108062744
2022-01-02 12:00:00+00:00,521097.421,251669,1.11265,NO5,-7.597380638122559
2022-01-02 13:00:00+00:00,2585156.318,1065430,1.11355,NO1,3.016019105911255
2022-01-02 13:00:00+00:00,1371460.172,598516,1.11355,NO2,0.2753321528434753
2022-01-02 13:00:00+00:00,953353.499,387305,0.36929,NO3,-2.3151228427886963
2022-01-02 13:00:00+00:00,881575.29,240435,0.36929,NO4,-2.362410545349121
2022-01-02 13:00:00+00:00,532456.204,251669,1.11355,NO5,-7.563142776489258
2022-01-02 14:00:00+00:00,2654461.318,1065430,1.18058,NO1,2.8515753746032715
2022-01-02 14:00:00+00:00,1409094.824,598516,1.18058,NO2,0.1504269391298294
2022-01-02 14:00:00+00:00,994543.055,387305,0.3591,NO3,-2.6300597190856934
2022-01-02 14:00:00+00:00,893982.518,240435,0.3591,NO4,-2.602977752685547
2022-01-02 14:00:00+00:00,549570.28,251669,1.18058,NO5,-7.5550947189331055
2022-01-02 15:00:00+00:00,2736429.165,1065430,1.22163,NO1,2.694427728652954
2022-01-02 15:00:00+00:00,1452416.814,598516,1.22163,NO2,-0.005102414637804
2022-01-02 15:00:00+00:00,1014713.207,387305,0.34991,NO3,-2.914803504943848
2022-01-02 15:00:00+00:00,890455.555,240435,0.34991,NO4,-2.6256442070007324
2022-01-02 15:00:00+00:00,566379.649,251669,1.22163,NO5,-7.566617965698242
2022-01-02 16:00:00+00:00,2756220.194,1065430,1.29645,NO1,2.472218513488769
2022-01-02 16:00:00+00:00,1456982.362,598516,1.29645,NO2,0.0057889600284397
2022-01-02 16:00:00+00:00,1003744.547,387305,0.33173,NO3,-3.1063811779022217
2022-01-02 16:00:00+00:00,879214.866,240435,0.33173,NO4,-2.6568288803100586
2022-01-02 16:00:00+00:00,563167.039,251669,1.29645,NO5,-7.526308536529541
2022-01-02 17:00:00+00:00,2732593.764,1065430,1.35818,NO1,2.179415941238404
2022-01-02 17:00:00+00:00,1442869.973,598516,1.35818,NO2,-0.0864686146378517
2022-01-02 17:00:00+00:00,988181.45,387305,0.32913,NO3,-3.3442349433898926
2022-01-02 17:00:00+00:00,867343.162,240435,0.32913,NO4,-2.56937575340271
2022-01-02 17:00:00+00:00,555752.098,251669,1.35818,NO5,-7.503683090209961
2022-01-02 18:00:00+00:00,2682990.855,1065430,1.28186,NO1,1.9800255298614504
2022-01-02 18:00:00+00:00,1424623.769,598516,1.28186,NO2,-0.181774154305458
2022-01-02 18:00:00+00:00,969673.847,387305,0.32873,NO3,-3.643831491470337
2022-01-02 18:00:00+00:00,857077.2,240435,0.32873,NO4,-2.447464227676392
2022-01-02 18:00:00+00:00,549180.541,251669,1.28186,NO5,-7.46396017074585
2022-01-02 19:00:00+00:00,2642316.032,1065430,1.1619,NO1,2.031986951828003
2022-01-02 19:00:00+00:00,1404326.933,598516,1.1619,NO2,0.0722448527812957
2022-01-02 19:00:00+00:00,951966.217,387305,0.33213,NO3,-2.999969482421875
2022-01-02 19:00:00+00:00,850033.309,240435,0.33213,NO4,-1.8833791017532349
2022-01-02 19:00:00+00:00,544868.014,251669,1.1619,NO5,-7.392562389373779
2022-01-02 20:00:00+00:00,2583682.852,1065430,1.10077,NO1,2.0024709701538086
2022-01-02 20:00:00+00:00,1375598.856,598516,1.10077,NO2,0.0922589153051376
2022-01-02 20:00:00+00:00,926670.602,387305,0.3523,NO3,-2.990185260772705
2022-01-02 20:00:00+00:00,837880.134,240435,0.3523,NO4,-1.6193206310272217
2022-01-02 20:00:00+00:00,534814.292,251669,1.10077,NO5,-7.372704982757568
